driver,compound,median_s,year,round,race_name,is_street,tenure_race,season_2024
OCO,HARD,77.27600000000001,2023,8,Canadian Grand Prix,,,
OCO,MEDIUM,78.441,2023,8,Canadian Grand Prix,,,
GAS,HARD,70.8955,2023,9,Austrian Grand Prix,,,
GAS,MEDIUM,69.9125,2023,9,Austrian Grand Prix,,,
OCO,HARD,70.789,2023,9,Austrian Grand Prix,,,
OCO,MEDIUM,71.5515,2023,9,Austrian Grand Prix,,,
GAS,MEDIUM,93.349,2023,10,British Grand Prix,,,
GAS,SOFT,92.823,2023,10,British Grand Prix,,,
OCO,SOFT,94.113,2023,10,British Grand Prix,,,
GAS,MEDIUM,112.2305,2023,12,Belgian Grand Prix,,,
GAS,SOFT,114.87,2023,12,Belgian Grand Prix,,,
OCO,MEDIUM,113.714,2023,12,Belgian Grand Prix,,,
OCO,SOFT,111.8665,2023,12,Belgian Grand Prix,,,
GAS,INTERMEDIATE,81.606,2023,13,Dutch Grand Prix,,,
GAS,SOFT,75.83,2023,13,Dutch Grand Prix,,,
OCO,SOFT,76.343,2023,13,Dutch Grand Prix,,,
GAS,HARD,87.348,2023,14,Italian Grand Prix,,,
GAS,MEDIUM,86.76650000000001,2023,14,Italian Grand Prix,,,
OCO,HARD,87.208,2023,14,Italian Grand Prix,,,
OCO,MEDIUM,88.101,2023,14,Italian Grand Prix,,,
GAS,HARD,99.965,2023,15,Singapore Grand Prix,,,
GAS,MEDIUM,100.8975,2023,15,Singapore Grand Prix,,,
OCO,HARD,100.708,2023,15,Singapore Grand Prix,,,
OCO,MEDIUM,100.526,2023,15,Singapore Grand Prix,,,
GAS,HARD,98.1415,2023,16,Japanese Grand Prix,,,
GAS,MEDIUM,100.2765,2023,16,Japanese Grand Prix,,,
OCO,HARD,98.758,2023,16,Japanese Grand Prix,,,
GAS,HARD,87.52250000000001,2023,17,Qatar Grand Prix,,,
GAS,MEDIUM,89.058,2023,17,Qatar Grand Prix,,,
OCO,HARD,87.61449999999999,2023,17,Qatar Grand Prix,,,
OCO,MEDIUM,89.186,2023,17,Qatar Grand Prix,,,
GAS,HARD,101.098,2023,18,United States Grand Prix,,,
GAS,MEDIUM,102.598,2023,18,United States Grand Prix,,,
OCO,MEDIUM,106.421,2023,18,United States Grand Prix,,,
GAS,HARD,83.87899999999999,2023,19,Mexico City Grand Prix,,,
GAS,MEDIUM,84.978,2023,19,Mexico City Grand Prix,,,
OCO,HARD,85.315,2023,19,Mexico City Grand Prix,,,
OCO,MEDIUM,83.817,2023,19,Mexico City Grand Prix,,,
GAS,MEDIUM,76.082,2023,20,São Paulo Grand Prix,,,
GAS,SOFT,75.881,2023,20,São Paulo Grand Prix,,,
OCO,MEDIUM,76.969,2023,20,São Paulo Grand Prix,,,
OCO,SOFT,75.841,2023,20,São Paulo Grand Prix,,,
GAS,HARD,98.494,2023,21,Las Vegas Grand Prix,,,
GAS,MEDIUM,99.7265,2023,21,Las Vegas Grand Prix,,,
OCO,HARD,97.3705,2023,21,Las Vegas Grand Prix,,,
OCO,MEDIUM,100.08,2023,21,Las Vegas Grand Prix,,,
GAS,HARD,89.72149999999999,2023,22,Abu Dhabi Grand Prix,,,
GAS,MEDIUM,91.305,2023,22,Abu Dhabi Grand Prix,,,
OCO,HARD,90.3205,2023,22,Abu Dhabi Grand Prix,,,
OCO,MEDIUM,91.073,2023,22,Abu Dhabi Grand Prix,,,
GAS,HARD,97.702,2024,1,Bahrain Grand Prix,,,
GAS,SOFT,95.997,2024,1,Bahrain Grand Prix,,,
OCO,HARD,97.537,2024,1,Bahrain Grand Prix,,,
OCO,SOFT,98.984,2024,1,Bahrain Grand Prix,,,
OCO,HARD,95.256,2024,2,Saudi Arabian Grand Prix,,,
OCO,MEDIUM,96.798,2024,2,Saudi Arabian Grand Prix,,,
GAS,HARD,82.9615,2024,3,Australian Grand Prix,,,
GAS,MEDIUM,84.049,2024,3,Australian Grand Prix,,,
OCO,HARD,82.88,2024,3,Australian Grand Prix,,,
OCO,MEDIUM,83.577,2024,3,Australian Grand Prix,,,
GAS,HARD,98.65,2024,4,Japanese Grand Prix,,,
GAS,MEDIUM,98.8835,2024,4,Japanese Grand Prix,,,
OCO,HARD,99.744,2024,4,Japanese Grand Prix,,,
